ckey,lat,long,alt
D10_20190202_211438_9653,31.48079,-95.34849,13
D10_20190202_211438_9653,31.47975,-95.34643,13
D10_20190202_211438_9653,31.47859,-95.34415,13
D10_20190202_211438_9653,31.47748,-95.34209,13
D10_20190202_211438_9653,31.47612,-95.33957,13
D10_20190202_211438_9653,31.47508,-95.33766,13
D10_20190202_211438_9653,31.47404,-95.33576,13
D10_20190202_211438_9653,31.47287,-95.33339,13
D10_20190202_211438_9653,31.4715,-95.33065,13
D10_20190202_211438_9653,31.47027,-95.32813,12
D10_20190202_211438_9653,31.4691,-95.32554,12
D10_20190202_211438_9653,31.46793,-95.32295,12
D10_20190202_211438_9653,31.46676,-95.32013,12
D10_20190202_211438_9653,31.4656,-95.31739,12
D10_20190202_211438_9653,31.46456,-95.31472,12
D10_20190202_211438_9653,31.46378,-95.31266,12
D10_20190202_211438_9653,31.4628,-95.31038,12
D10_20190202_211438_9653,31.46183,-95.30778,12
D10_20190202_211438_9653,31.46092,-95.3055,12
D10_20190202_211438_9653,31.46008,-95.30337,12
D10_20190202_211438_9653,31.4591,-95.30108,12
D10_20190202_211438_9653,31.45813,-95.29895,12
D10_20190202_211438_9653,31.45709,-95.29666,12
D10_20190202_211438_9653,31.45592,-95.29414,12
D10_20190202_211438_9653,31.45495,-95.29209,12
D10_20190202_211438_9653,31.45397,-95.2898,12
D10_20190202_211438_9653,31.45306,-95.28752,12
D10_20190202_211438_9653,31.45222,-95.28531,12
D10_20190202_211438_9653,31.45131,-95.28264,12
D10_20190202_211438_9653,31.45053,-95.28051,12
D10_20190202_211438_9653,31.44962,-95.27776,12
D10_20190202_211438_9653,31.44884,-95.27533,12
D10_20190202_211438_9653,31.44813,-95.27319,12
D10_20190202_211438_9653,31.44729,-95.27076,12
D10_20190202_211438_9653,31.44638,-95.26809,12
D10_20190202_211438_9653,31.44553,-95.26558,12
D10_20190202_211438_9653,31.44482,-95.26337,12
D10_20190202_211438_9653,31.44391,-95.26078,12
D10_20190202_211438_9653,31.44313,-95.25849,12
D10_20190202_211438_9653,31.44235,-95.25621,12
D10_20190202_211438_9653,31.44151,-95.25393,12
D10_20190202_211438_9653,31.4406,-95.25149,12
D10_20190202_211438_9653,31.43949,-95.24882,12
D10_20190202_211438_9653,31.43865,-95.24669,12
D10_20190202_211438_9653,31.43761,-95.24448,12
D10_20190202_211438_9653,31.4367,-95.2425,12
D10_20190202_211438_9653,31.43559,-95.24021,12
D10_20190202_211438_9653,31.43442,-95.23785,12
D10_20190202_211438_9653,31.43331,-95.23549,12
D10_20190202_211438_9653,31.4324,-95.23351,12
D10_20190202_211438_9653,31.43143,-95.23138,12
D10_20190202_211438_9653,31.43045,-95.22925,12
D10_20190202_211438_9653,31.42954,-95.22719,12
D10_20190202_211438_9653,31.42837,-95.22445,12
D10_20190202_211438_9653,31.42753,-95.22239,12
D10_20190202_211438_9653,31.42642,-95.2198,12
D10_20190202_211438_9653,31.42557,-95.21767,12
D10_20190202_211438_9653,31.42453,-95.21508,12
D10_20190202_211438_9653,31.42369,-95.21303,12
D10_20190202_211438_9653,31.42271,-95.21059,12
D10_20190202_211438_9653,31.4218,-95.20831,12
D10_20190202_211438_9653,31.42102,-95.20625,12
D10_20190202_211438_9653,31.42031,-95.20442,12
D10_20190202_211438_9653,31.41914,-95.20153,12
D10_20190202_211438_9653,31.41816,-95.19917,12
D10_20190202_211438_9653,31.41725,-95.19689,12
D10_20190202_211438_9653,31.41634,-95.19453,12
D10_20190202_211438_9653,31.41517,-95.19171,12
D10_20190202_211438_9653,31.41426,-95.1895,12
D10_20190202_211438_9653,31.41347,-95.18745,12
D10_20190202_211438_9653,31.41269,-95.18554,12
D10_20190202_211438_9653,31.41172,-95.18296,12
D10_20190202_211438_9653,31.41081,-95.1806,12
D10_20190202_211438_9653,31.40977,-95.17778,12
D10_20190202_211438_9653,31.40879,-95.17534,12
D10_20190202_211438_9653,31.40807,-95.17344,12
D10_20190202_211438_9653,31.40723,-95.17116,12
